CALICATA;CODINTERES;AreiaTotal;Silte;Argila;ClasseTextural;TipoDeSolo;CALCIO;MAGNESIO;POTASIO;SODIO;MOS;SO4;FOSFORO;TEORCTCPH7;CTCEFE;SATURV;MANGANESO;HIERRO;COBRE;ZINC;BORO;INDPH;INDPHSMP;INDPHH2O;TEORAL;TEORHAL;TEORH;SATURCA;SATURMG;SATURK;SATURNA;SATURH;SATURAL;DOSEKMIN;DOSEKMAX;DOSECAMIN;DOSECAMAX;DOSEMGMIN;DOSEMGMAX
C1;C1.1 (0-30);61;15;24;ARENO LEVE ARCILLOSO;SUELO TIPO 2;0,75;0,24;0,07;0,1;27,35;3,43;3,1;7,55;2,58;15,36;42,37;159,49;2,16;3,09;0,39;3,73;5,66;4,55;1,42;6,39;4,97;9,93;3,18;0,93;1,32;65,83;55,04;0,16;0,31;3,03;4,16;0,51;1,27
C2;C2.1 (0-30);69;7;24;ARENO LEVE ARCILLOSO;SUELO TIPO 2;0,55;0,14;0,06;0,07;34,29;3,65;6,57;8,87;2,78;9,25;77,77;168,04;2,54;3,47;0,44;3,66;5,35;4,49;1,96;8,05;6,09;6,2;1,58;0,68;0,79;68,66;70,5;0,21;0,38;3,89;5,22;0,75;1,63
C3;C3.1 (0-30);65;7;28;ARENO ARCILLOSO;SUELO TIPO 2;1,23;0,31;0,06;0,05;21,46;3,31;2,34;7,37;3,03;22,39;40,02;167,85;1,69;2,94;0,43;3,79;5,81;4,61;1,38;5,72;4,34;16,69;4,21;0,81;0,68;58,89;45,54;0,16;0,31;2,45;3,56;0,43;1,16
C4;C4.1 (0-30);55;15;30;ARENO ARCILLOSO;SUELO TIPO 2;1,34;0,25;0,07;0,12;29,72;6,85;1,96;9,71;3,71;18,33;24,9;161,51;1,95;2,7;0,43;3,68;5,37;4,51;1,93;7,93;6;13,8;2,57;0,72;1,24;61,79;52,02;0,22;0,42;3,52;4,97;0,72;1,69
C5;C5.1 (0-30);59;21;20;ARENO LEVE ARCILLOSO;SUELO TIPO 2;0,94;0,23;0,06;0,03;22,41;4,23;2,42;6,45;2,02;19,54;22,78;183,74;2,22;2,74;0,44;3,96;5,94;4,75;0,76;5,19;4,43;14,57;3,57;0,93;0,47;68,68;37,62;0,13;0,26;2,29;3,25;0,41;1,06
C6;C6.1 (0-30);57;17;26;ARENO ARCILLOSO;SUELO TIPO 2;1,05;0,2;0,04;0,06;18,86;2,4;1,59;6,46;2,87;20,9;50,55;172,8;2,94;3,25;0,43;3,67;5,96;4,5;1,52;5,11;3,59;16,25;3,1;0,62;0,93;55,57;52,96;0,15;0,28;2,18;3,15;0,45;1,09
C7;C7.1 (0-30);75;3;22;ARENO LEVE ARCILLOSO;SUELO TIPO 1;0,69;0,15;0,07;0,12;27,73;5,03;3,02;5,85;2,33;17,6;65,77;182,47;2,58;3,26;0,43;3,84;6,04;4,65;1,3;4,82;3,52;11,79;2,56;1,2;2,05;60,17;55,79;0,11;0,22;2,24;3,11;0,44;1,02
C8;C8.1 (0-30);73;3;24;ARENO LEVE ARCILLOSO;SUELO TIPO 2;0,66;0,12;0,03;0,09;23,43;4,68;1,89;6,88;3,14;13,08;19,78;184,15;2,88;2,69;0,44;3,66;5,75;4,49;2,24;5,98;3,74;9,59;1,74;0,44;1,31;54,36;71,34;0,18;0,31;2,78;3,81;0,57;1,26
C9;C9.1 (0-30);75;3;22;ARENO LEVE ARCILLOSO;SUELO TIPO 1;0,33;0,13;0,05;0,06;22,98;3,2;2,79;6,04;2,02;9,43;56,94;187,03;2,08;2,71;0,45;3,77;5,87;4,59;1,45;5,47;4,02;5,46;2,15;0,83;0,99;66,56;71,78;0,13;0,25;2,69;3,6;0,47;1,08
